x1,x2,category,target
-2.10,0.30,low,0
-1.90,0.45,low,0
-1.70,0.20,low,0
-1.55,0.62,low,0
-1.40,0.35,low,0
-1.25,0.75,low,0
-1.10,0.58,low,0
-0.95,0.80,low,0
-0.80,0.42,low,0
-0.65,0.93,low,0
-0.50,0.70,low,0
-0.35,1.05,low,0
-0.20,0.88,low,0
-0.05,1.12,low,0
0.10,0.95,low,0
0.25,1.25,low,0
0.40,1.02,low,0
0.55,1.35,low,0
0.70,1.18,low,0
0.85,1.45,low,0
1.00,1.30,high,1
1.15,1.62,high,1
1.30,1.48,high,1
1.45,1.80,high,1
1.60,1.65,high,1
1.75,1.95,high,1
1.90,1.72,high,1
2.05,2.10,high,1
2.20,1.90,high,1
2.35,2.28,high,1
2.50,2.05,high,1
2.65,2.45,high,1
2.80,2.30,high,1
2.95,2.62,high,1
3.10,2.48,high,1
3.25,2.75,high,1
3.40,2.60,high,1
3.55,2.92,high,1
3.70,2.78,high,1
3.85,3.05,high,1
